vgs	Id(M1)
0.000000000000000e+00	7.598860e-11
1.000000000000000e-03	7.598860e-11
2.000000000000000e-03	7.598860e-11
3.000000000000000e-03	7.598860e-11
4.000000000000000e-03	7.598860e-11
5.000000000000000e-03	7.598860e-11
6.000000000000000e-03	7.598860e-11
7.000000000000000e-03	7.598860e-11
8.000000000000000e-03	7.598860e-11
9.000000000000001e-03	7.598860e-11
1.000000000000000e-02	7.598860e-11
1.100000000000000e-02	7.598860e-11
1.200000000000000e-02	7.598860e-11
1.300000000000000e-02	7.598860e-11
1.400000000000001e-02	7.598860e-11
1.500000000000001e-02	7.598860e-11
1.600000000000001e-02	7.598860e-11
1.700000000000001e-02	7.598860e-11
1.800000000000001e-02	7.598860e-11
1.900000000000001e-02	7.598860e-11
2.000000000000001e-02	7.598860e-11
2.100000000000001e-02	7.598860e-11
2.200000000000001e-02	7.598860e-11
2.300000000000001e-02	7.598860e-11
2.400000000000001e-02	7.598860e-11
2.500000000000002e-02	7.598860e-11
2.600000000000002e-02	7.598860e-11
2.700000000000002e-02	7.598860e-11
2.800000000000002e-02	7.598860e-11
2.900000000000002e-02	7.598860e-11
3.000000000000002e-02	7.598860e-11
3.100000000000002e-02	7.598860e-11
3.200000000000002e-02	7.598860e-11
3.300000000000002e-02	7.598860e-11
3.400000000000002e-02	7.598860e-11
3.500000000000002e-02	7.598860e-11
3.600000000000003e-02	7.598860e-11
3.700000000000003e-02	7.598860e-11
3.800000000000003e-02	7.598860e-11
3.900000000000003e-02	7.598860e-11
4.000000000000003e-02	7.598860e-11
4.100000000000003e-02	7.598860e-11
4.200000000000003e-02	7.598860e-11
4.300000000000003e-02	7.598860e-11
4.400000000000003e-02	7.598860e-11
4.500000000000003e-02	7.598860e-11
4.600000000000003e-02	7.598860e-11
4.700000000000003e-02	7.598860e-11
4.800000000000004e-02	7.598860e-11
4.900000000000004e-02	7.598860e-11
5.000000000000004e-02	7.598860e-11
5.100000000000004e-02	7.598860e-11
5.200000000000004e-02	7.598860e-11
5.300000000000004e-02	7.598860e-11
5.400000000000004e-02	7.598860e-11
5.500000000000004e-02	7.598860e-11
5.600000000000004e-02	7.598860e-11
5.700000000000004e-02	7.598860e-11
5.800000000000004e-02	7.598860e-11
5.900000000000005e-02	7.598860e-11
6.000000000000005e-02	7.598860e-11
6.100000000000005e-02	7.598860e-11
6.200000000000005e-02	7.598860e-11
6.300000000000004e-02	7.598860e-11
6.400000000000004e-02	7.598860e-11
6.500000000000004e-02	7.598860e-11
6.600000000000004e-02	7.598860e-11
6.700000000000005e-02	7.598860e-11
6.800000000000005e-02	7.598860e-11
6.900000000000005e-02	7.598860e-11
7.000000000000005e-02	7.598860e-11
7.100000000000005e-02	7.598860e-11
7.200000000000005e-02	7.598860e-11
7.300000000000005e-02	7.598860e-11
