vds	Id(M1)
0.000000000000000e+00	-4.800339e-37
5.000000000000000e-02	7.304266e-02
1.000000000000000e-01	1.375709e-01
1.500000000000000e-01	1.931852e-01
2.000000000000000e-01	2.394536e-01
2.500000000000000e-01	2.759088e-01
3.000000000000000e-01	3.020433e-01
3.500000000000000e-01	3.173049e-01
4.000000000000000e-01	3.213768e-01
4.500000000000000e-01	3.218387e-01
4.999999999999999e-01	3.223006e-01
5.499999999999999e-01	3.227624e-01
6.000000000000000e-01	3.232242e-01
6.500000000000000e-01	3.236859e-01
7.000000000000001e-01	3.241477e-01
7.500000000000001e-01	3.246093e-01
8.000000000000002e-01	3.250709e-01
8.500000000000002e-01	3.255325e-01
9.000000000000002e-01	3.259941e-01
9.500000000000003e-01	3.264556e-01
1.000000000000000e+00	3.269170e-01
1.050000000000000e+00	3.273784e-01
1.100000000000000e+00	3.278398e-01
1.150000000000000e+00	3.283011e-01
1.200000000000000e+00	3.287624e-01
1.250000000000000e+00	3.292237e-01
1.300000000000000e+00	3.296849e-01
1.350000000000001e+00	3.301460e-01
1.400000000000001e+00	3.306072e-01
1.450000000000001e+00	3.310683e-01
1.500000000000001e+00	3.315293e-01
1.550000000000001e+00	3.319903e-01
1.600000000000001e+00	3.324513e-01
1.650000000000001e+00	3.329122e-01
1.700000000000001e+00	3.333731e-01
1.750000000000001e+00	3.338339e-01
1.800000000000001e+00	3.342947e-01
1.850000000000001e+00	3.347555e-01
1.900000000000001e+00	3.352162e-01
1.950000000000001e+00	3.356769e-01
2.000000000000001e+00	3.361375e-01
2.050000000000001e+00	3.365981e-01
2.100000000000001e+00	3.370587e-01
2.150000000000000e+00	3.375192e-01
2.200000000000000e+00	3.379797e-01
2.250000000000000e+00	3.384401e-01
2.300000000000000e+00	3.389005e-01
2.350000000000000e+00	3.393608e-01
2.399999999999999e+00	3.398212e-01
2.449999999999999e+00	3.402814e-01
2.499999999999999e+00	3.407416e-01
2.549999999999999e+00	3.412018e-01
2.599999999999999e+00	3.416620e-01
2.649999999999999e+00	3.421221e-01
2.699999999999998e+00	3.425821e-01
2.749999999999998e+00	3.430422e-01
2.799999999999998e+00	3.435022e-01
2.849999999999998e+00	3.439621e-01
2.899999999999998e+00	3.444220e-01
2.949999999999998e+00	3.448819e-01
2.999999999999997e+00	3.453417e-01
3.049999999999997e+00	3.458015e-01
3.099999999999997e+00	3.462612e-01
3.149999999999997e+00	3.467209e-01
3.199999999999997e+00	3.471805e-01
3.249999999999996e+00	3.476402e-01
3.299999999999996e+00	3.480997e-01
3.349999999999996e+00	3.485593e-01
3.399999999999996e+00	3.490188e-01
3.449999999999996e+00	3.494782e-01
3.499999999999996e+00	3.499376e-01
3.549999999999995e+00	3.503970e-01
3.599999999999995e+00	3.508564e-01
3.649999999999995e+00	3.513156e-01
3.699999999999995e+00	3.517749e-01
3.749999999999995e+00	3.522341e-01
3.799999999999994e+00	3.526933e-01
3.849999999999994e+00	3.531524e-01
3.899999999999994e+00	3.536115e-01
3.949999999999994e+00	3.540705e-01
3.999999999999994e+00	3.545295e-01
4.049999999999994e+00	3.549885e-01
4.099999999999993e+00	3.554474e-01
4.149999999999993e+00	3.559063e-01
4.199999999999993e+00	3.563652e-01
4.249999999999993e+00	3.568240e-01
4.299999999999993e+00	3.572827e-01
4.349999999999993e+00	3.577414e-01
4.399999999999992e+00	3.582001e-01
4.449999999999992e+00	3.586588e-01
4.499999999999992e+00	3.591174e-01
4.549999999999992e+00	3.595759e-01
4.599999999999992e+00	3.600345e-01
4.649999999999991e+00	3.604929e-01
4.699999999999991e+00	3.609514e-01
4.749999999999991e+00	3.614098e-01
4.799999999999991e+00	3.618681e-01
4.849999999999991e+00	3.623264e-01
4.899999999999991e+00	3.627847e-01
4.949999999999990e+00	3.632430e-01
4.999999999999990e+00	3.637012e-01
5.049999999999990e+00	3.641593e-01
5.099999999999990e+00	3.646174e-01
5.149999999999990e+00	3.650755e-01
5.199999999999990e+00	3.655335e-01
5.249999999999989e+00	3.659915e-01
5.299999999999989e+00	3.664495e-01
5.349999999999989e+00	3.669074e-01
5.399999999999989e+00	3.673653e-01
5.449999999999989e+00	3.678231e-01
5.499999999999988e+00	3.682809e-01
5.549999999999988e+00	3.687386e-01
5.599999999999988e+00	3.691964e-01
5.649999999999988e+00	3.696540e-01
5.699999999999988e+00	3.701116e-01
5.749999999999988e+00	3.705692e-01
5.799999999999987e+00	3.710268e-01
5.849999999999987e+00	3.714843e-01
5.899999999999987e+00	3.719417e-01
5.949999999999987e+00	3.723992e-01
5.999999999999987e+00	3.728566e-01
6.049999999999986e+00	3.733139e-01
6.099999999999986e+00	3.737712e-01
6.149999999999986e+00	3.742285e-01
6.199999999999986e+00	3.746857e-01
6.249999999999986e+00	3.751429e-01
6.299999999999986e+00	3.756000e-01
6.349999999999985e+00	3.760571e-01
6.399999999999985e+00	3.765142e-01
6.449999999999985e+00	3.769712e-01
6.499999999999985e+00	3.774282e-01
6.549999999999985e+00	3.778852e-01
6.599999999999985e+00	3.783421e-01
6.649999999999984e+00	3.787989e-01
6.699999999999984e+00	3.792558e-01
6.749999999999984e+00	3.797126e-01
6.799999999999984e+00	3.801693e-01
6.849999999999984e+00	3.806260e-01
6.899999999999983e+00	3.810827e-01
6.949999999999983e+00	3.815393e-01
6.999999999999983e+00	3.819959e-01
7.049999999999983e+00	3.824524e-01
7.099999999999983e+00	3.829089e-01
7.149999999999983e+00	3.833654e-01
7.199999999999982e+00	3.838218e-01
7.249999999999982e+00	3.842782e-01
7.299999999999982e+00	3.847345e-01
7.349999999999982e+00	3.851908e-01
7.399999999999982e+00	3.856471e-01
