time	V(n009)
1.648498035645485e-03	6.828783e-01
1.688498035645303e-03	8.343250e-01
1.716967057589613e-03	9.136196e-01
1.733584010735978e-03	9.454048e-01
1.749336707278726e-03	9.647208e-01
1.764753465180124e-03	9.735022e-01
1.789010070349484e-03	9.665679e-01
1.828276131746964e-03	9.142812e-01
1.868276131746782e-03	8.132801e-01
1.908276131746600e-03	6.642045e-01
1.948276131746418e-03	4.744137e-01
1.988276131746236e-03	2.538095e-01
2.028276131746054e-03	1.453328e-02
2.068276131745872e-03	-2.293433e-01
2.108276131745690e-03	-4.625309e-01
2.148276131745508e-03	-6.695856e-01
2.188276131745326e-03	-8.401697e-01
2.216883296398908e-03	-9.339634e-01
2.233479979564468e-03	-9.712275e-01
2.249116598199929e-03	-9.904960e-01
2.264671653070760e-03	-9.955711e-01
2.288877073655993e-03	-9.841695e-01
2.328062059935743e-03	-9.334819e-01
2.368062059935561e-03	-8.354055e-01
2.408062059935379e-03	-6.804240e-01
2.448062059935197e-03	-4.756041e-01
2.488062059935015e-03	-2.382377e-01
2.528062059934832e-03	1.304743e-02
2.568062059934650e-03	2.605213e-01
2.608062059934468e-03	4.878309e-01
2.648062059934286e-03	6.809555e-01
2.688062059934104e-03	8.328461e-01
2.716802466491419e-03	9.131971e-01
2.733379585568851e-03	9.450891e-01
2.748904181692158e-03	9.642618e-01
2.764592699201263e-03	9.733496e-01
2.788748721112899e-03	9.667209e-01
2.827855447346206e-03	9.150712e-01
2.867855447346024e-03	8.145558e-01
2.907855447345842e-03	6.659535e-01
2.947855447345660e-03	4.765440e-01
2.987855447345478e-03	2.562049e-01
3.027855447345296e-03	1.705503e-02
3.067855447345114e-03	-2.268511e-01
3.107855447344932e-03	-4.602320e-01
3.147855447344750e-03	-6.676390e-01
3.187855447344567e-03	-8.386187e-01
3.216724429487616e-03	-9.335852e-01
3.233282657230774e-03	-9.710153e-01
3.248699095317331e-03	-9.902279e-01
3.264516468734602e-03	-9.955675e-01
3.288624793772232e-03	-9.844423e-01
3.327655943248242e-03	-9.342860e-01
3.367655943248060e-03	-8.367282e-01
3.407655943247878e-03	-6.823187e-01
3.447655943247696e-03	-4.779217e-01
3.487655943247514e-03	-2.407878e-01
3.527655943247332e-03	1.044792e-02
3.567655943247150e-03	2.580467e-01
3.607655943246968e-03	4.856369e-01
3.647655943246786e-03	6.791698e-01
3.687655943246604e-03	8.314731e-01
3.716649055163224e-03	9.128127e-01
3.733189033128692e-03	9.448033e-01
3.748500997938553e-03	9.638386e-01
3.764442834786497e-03	9.732168e-01
3.788505085590366e-03	9.668710e-01
3.827463217516591e-03	9.158122e-01
3.867463217516409e-03	8.157501e-01
3.907463217516227e-03	6.675897e-01
3.947463217516045e-03	4.785365e-01
3.987463217515863e-03	2.584458e-01
4.027463217515681e-03	1.941503e-02
4.067463217515499e-03	-2.245173e-01
4.107463217515317e-03	-4.580767e-01
4.147463217515135e-03	-6.658109e-01
4.187463217514953e-03	-8.371586e-01
4.216576220884782e-03	-9.332222e-01
4.233098561241544e-03	-9.708054e-01
4.248309568258168e-03	-9.899596e-01
4.264371677876522e-03	-9.955515e-01
4.288389402535397e-03	-9.846832e-01
4.327276959211535e-03	-9.350204e-01
4.367276959211353e-03	-8.379478e-01
4.407276959211170e-03	-6.840738e-01
4.447276959210988e-03	-4.800733e-01
4.487276959210806e-03	-2.431582e-01
4.527276959210624e-03	8.029658e-03
4.567276959210442e-03	2.557434e-01
4.607276959210260e-03	4.835941e-01
4.647276959210078e-03	6.775067e-01
4.687276959209896e-03	8.301944e-01
4.716505811092730e-03	9.124606e-01
4.733011098303042e-03	9.445424e-01
4.748124503455298e-03	9.634463e-01
4.764302885415628e-03	9.730997e-01
4.788277561759369e-03	9.670162e-01
4.827096875261283e-03	9.165068e-01
4.867096875261101e-03	8.168683e-01
4.907096875260919e-03	6.691213e-01
4.947096875260737e-03	4.804018e-01
4.987096875260555e-03	2.605440e-01
5.027096875260373e-03	2.162566e-02
5.067096875260191e-03	-2.223298e-01
5.107096875260009e-03	-4.560548e-01
5.147096875259827e-03	-6.640934e-01
5.187096875259645e-03	-8.357838e-01
5.216437716816014e-03	-9.328755e-01
5.232926509209701e-03	-9.706001e-01
5.247945517939279e-03	-9.896945e-01
5.264236351238960e-03	-9.955273e-01
