vds	Id(M1)
0.000000000000000e+00	-4.800339e-37
5.000000000000000e-02	8.111417e-02
1.000000000000000e-01	1.540964e-01
1.500000000000000e-01	2.185777e-01
2.000000000000000e-01	2.741608e-01
2.500000000000000e-01	3.204165e-01
3.000000000000000e-01	3.568803e-01
3.500000000000000e-01	3.830485e-01
4.000000000000000e-01	3.983729e-01
4.500000000000000e-01	4.025422e-01
4.999999999999999e-01	4.031176e-01
5.499999999999999e-01	4.036930e-01
6.000000000000000e-01	4.042683e-01
6.500000000000000e-01	4.048436e-01
7.000000000000001e-01	4.054188e-01
7.500000000000001e-01	4.059939e-01
8.000000000000002e-01	4.065690e-01
8.500000000000002e-01	4.071440e-01
9.000000000000002e-01	4.077190e-01
9.500000000000003e-01	4.082939e-01
1.000000000000000e+00	4.088688e-01
1.050000000000000e+00	4.094436e-01
1.100000000000000e+00	4.100183e-01
1.150000000000000e+00	4.105930e-01
1.200000000000000e+00	4.111676e-01
1.250000000000000e+00	4.117422e-01
1.300000000000000e+00	4.123167e-01
1.350000000000001e+00	4.128911e-01
1.400000000000001e+00	4.134655e-01
1.450000000000001e+00	4.140399e-01
1.500000000000001e+00	4.146142e-01
1.550000000000001e+00	4.151884e-01
1.600000000000001e+00	4.157625e-01
1.650000000000001e+00	4.163367e-01
1.700000000000001e+00	4.169107e-01
1.750000000000001e+00	4.174847e-01
1.800000000000001e+00	4.180587e-01
1.850000000000001e+00	4.186325e-01
1.900000000000001e+00	4.192064e-01
1.950000000000001e+00	4.197801e-01
2.000000000000001e+00	4.203538e-01
2.050000000000001e+00	4.209275e-01
2.100000000000001e+00	4.215011e-01
2.150000000000000e+00	4.220746e-01
2.200000000000000e+00	4.226481e-01
2.250000000000000e+00	4.232215e-01
2.300000000000000e+00	4.237949e-01
2.350000000000000e+00	4.243682e-01
2.399999999999999e+00	4.249415e-01
2.449999999999999e+00	4.255147e-01
2.499999999999999e+00	4.260878e-01
2.549999999999999e+00	4.266609e-01
2.599999999999999e+00	4.272339e-01
2.649999999999999e+00	4.278069e-01
2.699999999999998e+00	4.283798e-01
2.749999999999998e+00	4.289526e-01
2.799999999999998e+00	4.295254e-01
2.849999999999998e+00	4.300982e-01
2.899999999999998e+00	4.306709e-01
2.949999999999998e+00	4.312435e-01
2.999999999999997e+00	4.318160e-01
3.049999999999997e+00	4.323885e-01
3.099999999999997e+00	4.329610e-01
3.149999999999997e+00	4.335334e-01
3.199999999999997e+00	4.341058e-01
3.249999999999996e+00	4.346780e-01
3.299999999999996e+00	4.352503e-01
3.349999999999996e+00	4.358224e-01
3.399999999999996e+00	4.363945e-01
3.449999999999996e+00	4.369666e-01
3.499999999999996e+00	4.375386e-01
3.549999999999995e+00	4.381105e-01
3.599999999999995e+00	4.386824e-01
3.649999999999995e+00	4.392543e-01
3.699999999999995e+00	4.398260e-01
3.749999999999995e+00	4.403977e-01
3.799999999999994e+00	4.409694e-01
3.849999999999994e+00	4.415410e-01
3.899999999999994e+00	4.421125e-01
3.949999999999994e+00	4.426840e-01
3.999999999999994e+00	4.432555e-01
