time	V(n023)
5.247945517939279e-03	-9.101581e-01
5.264236351238960e-03	-9.225789e-01
5.288169390841535e-03	-9.189339e-01
5.326922689259384e-03	-8.685399e-01
5.366922689259201e-03	-7.643067e-01
5.406922689259019e-03	-6.084968e-01
5.446922689258837e-03	-4.115454e-01
5.486922689258655e-03	-1.873348e-01
5.526922689258473e-03	4.846996e-02
5.566922689258291e-03	2.793335e-01
5.606922689258109e-03	4.886733e-01
5.646922689257927e-03	6.613597e-01
5.686922689257745e-03	7.897695e-01
5.716371835235989e-03	8.535070e-01
5.732844666475057e-03	8.749586e-01
5.747916990747282e-03	8.848019e-01
5.764225746696106e-03	8.859140e-01
5.788152149886816e-03	8.698987e-01
5.826894925394566e-03	8.096808e-01
5.866894925394384e-03	7.084414e-01
5.906894925394202e-03	5.687605e-01
5.946894925394020e-03	3.971627e-01
5.986894925393837e-03	2.016884e-01
6.026894925393655e-03	-8.412080e-03
6.066894925393473e-03	-2.225220e-01
6.106894925393291e-03	-4.284945e-01
6.146894925393109e-03	-6.129672e-01
6.186894925392927e-03	-7.658700e-01
6.216361332640030e-03	-8.530493e-01
6.232831619199963e-03	-8.883139e-01
6.247918503791805e-03	-9.101453e-01
6.264226309148135e-03	-9.226019e-01
6.288153064326618e-03	-9.189762e-01
6.326896397964354e-03	-8.686239e-01
6.366896397964172e-03	-7.644234e-01
6.406896397963990e-03	-6.086440e-01
6.446896397963808e-03	-4.117148e-01
6.486896397963626e-03	-1.875164e-01
6.526896397963444e-03	4.828683e-02
6.566896397963262e-03	2.791599e-01
6.606896397963080e-03	4.885197e-01
6.646896397962898e-03	6.612349e-01
6.686896397962716e-03	7.896731e-01
6.716361889698597e-03	8.534649e-01
6.732832311229675e-03	8.749199e-01
6.747918423539279e-03	8.847748e-01
6.764226279315722e-03	8.858882e-01
6.788153015825138e-03	8.698719e-01
6.826896319859888e-03	8.096519e-01
6.866896319859705e-03	7.084112e-01
6.906896319859523e-03	5.687292e-01
6.946896319859341e-03	3.971305e-01
6.986896319859159e-03	2.016556e-01
7.026896319858977e-03	-8.444916e-03
7.066896319858795e-03	-2.225544e-01
7.106896319858613e-03	-4.285261e-01
7.146896319858431e-03	-6.129974e-01
7.186896319858249e-03	-7.658987e-01
7.216361860152620e-03	-8.530743e-01
7.232832274524981e-03	-8.883388e-01
7.247918427795597e-03	-9.101688e-01
7.264226280897734e-03	-9.226253e-01
7.288153018397470e-03	-9.189995e-01
7.326896324002519e-03	-8.686469e-01
7.366896324002337e-03	-7.644461e-01
7.406896324002155e-03	-6.086665e-01
7.446896324001973e-03	-4.117369e-01
7.486896324001791e-03	-1.875381e-01
7.526896324001608e-03	4.826571e-02
7.566896324001426e-03	2.791394e-01
7.606896324001244e-03	4.884997e-01
7.646896324001062e-03	6.612152e-01
7.686896324000880e-03	7.896537e-01
7.716361861719978e-03	8.534456e-01
7.732832276472479e-03	8.749006e-01
7.747918427569722e-03	8.847556e-01
7.764226280813524e-03	8.858689e-01
7.788153018260413e-03	8.698526e-01
7.826896323781529e-03	8.096327e-01
7.866896323781347e-03	7.083920e-01
7.906896323781165e-03	5.687100e-01
7.946896323780983e-03	3.971113e-01
7.986896323780801e-03	2.016366e-01
8.026896323780619e-03	-8.463727e-03
8.066896323780437e-03	-2.225730e-01
8.106896323780255e-03	-4.285443e-01
8.146896323780073e-03	-6.130154e-01
8.186896323779891e-03	-7.659165e-01
8.216361861636212e-03	-8.530919e-01
8.232832276367841e-03	-8.883563e-01
8.247918427581435e-03	-9.101862e-01
8.264226280818132e-03	-9.226426e-01
8.288153018267685e-03	-9.190167e-01
8.326896323793243e-03	-8.686638e-01
8.366896323793060e-03	-7.644628e-01
8.406896323792878e-03	-6.086829e-01
8.446896323792696e-03	-4.117529e-01
8.486896323792514e-03	-1.875538e-01
8.526896323792332e-03	4.825039e-02
8.566896323792150e-03	2.791244e-01
8.606896323791968e-03	4.884851e-01
8.646896323791786e-03	6.612009e-01
8.686896323791604e-03	7.896394e-01
8.716361861640820e-03	8.534313e-01
8.732832276373781e-03	8.748864e-01
8.747918427581602e-03	8.847413e-01
8.764226280817855e-03	8.858547e-01
8.788153018267408e-03	8.698384e-01
8.826896323792521e-03	8.096184e-01
8.866896323792339e-03	7.083777e-01
8.906896323792157e-03	5.686958e-01
8.946896323791975e-03	3.970971e-01
8.986896323791793e-03	2.016225e-01
9.026896323791611e-03	-8.477638e-03
