time	V(vo)	V(n009)
3.264226381271662e-03	-1.020983e+00	-9.951379e-01
3.288153181586040e-03	-9.808874e-01	-9.845116e-01
3.326896586793193e-03	-8.703663e-01	-9.353564e-01
3.366896586793011e-03	-7.065639e-01	-8.388109e-01
3.406896586792829e-03	-4.983324e-01	-6.855125e-01
3.446896586792647e-03	-2.602873e-01	-4.819315e-01
3.486896586792465e-03	-9.139664e-03	-2.452475e-01
3.526896586792283e-03	2.383468e-01	5.883960e-03
3.566896586792101e-03	4.666604e-01	2.537057e-01
3.606896586791919e-03	6.625542e-01	4.818111e-01
3.646896586791737e-03	8.157082e-01	6.760989e-01
3.686896586791555e-03	9.225527e-01	8.291670e-01
3.716361961131120e-03	9.701257e-01	9.123638e-01
3.732832399969688e-03	9.821879e-01	9.445090e-01
3.747918413247397e-03	9.828888e-01	9.634605e-01
3.764226275489779e-03	9.732686e-01	9.732770e-01
3.788153009605111e-03	9.395285e-01	9.673346e-01
3.826896309843786e-03	8.461103e-01	9.171224e-01
3.866896309843604e-03	7.049633e-01	8.177138e-01
3.906896309843422e-03	5.200036e-01	6.701999e-01
3.946896309843240e-03	3.001321e-01	4.816760e-01
3.986896309843058e-03	5.750497e-02	2.619444e-01
4.026896309842876e-03	-1.931785e-01	2.307566e-02
4.066896309842694e-03	-4.355736e-01	-2.209004e-01
4.106896309842512e-03	-6.529793e-01	-4.547203e-01
4.146896309842329e-03	-8.297989e-01	-6.629277e-01
4.186896309842147e-03	-9.572812e-01	-8.348075e-01
4.216361856363982e-03	-1.015587e+00	-9.324606e-01
4.232832269818410e-03	-1.030864e+00	-9.702068e-01
4.247918428341713e-03	-1.032275e+00	-9.894156e-01
4.264226281100569e-03	-1.021119e+00	-9.952706e-01
4.288153018726870e-03	-9.810228e-01	-9.846503e-01
4.326896324533092e-03	-8.705003e-01	-9.354900e-01
4.366896324532910e-03	-7.066961e-01	-8.389294e-01
4.406896324532728e-03	-4.984627e-01	-6.856170e-01
4.446896324532545e-03	-2.604154e-01	-4.820287e-01
4.486896324532363e-03	-9.265533e-03	-2.453414e-01
4.526896324532181e-03	2.382232e-01	5.792233e-03
4.566896324531999e-03	4.665391e-01	2.536159e-01
4.606896324531817e-03	6.624352e-01	4.817230e-01
4.646896324531635e-03	8.155913e-01	6.760126e-01
4.686896324531453e-03	9.224378e-01	8.290824e-01
4.716361861920593e-03	9.700125e-01	9.122809e-01
4.732832276721499e-03	9.820755e-01	9.444265e-01
4.747918427541187e-03	9.827768e-01	9.633787e-01
4.764226280802752e-03	9.731572e-01	9.731956e-01
4.788153018242536e-03	9.394178e-01	9.672539e-01
4.826896323752550e-03	8.460006e-01	9.170424e-01
4.866896323752368e-03	7.048547e-01	8.176346e-01
4.906896323752186e-03	5.198959e-01	6.701214e-01
4.946896323752004e-03	3.000251e-01	4.815982e-01
4.986896323751822e-03	5.739866e-02	2.618672e-01
5.026896323751640e-03	-1.932841e-01	2.299907e-02
5.066896323751457e-03	-4.356785e-01	-2.209764e-01
5.106896323751275e-03	-6.530833e-01	-4.547957e-01
5.146896323751093e-03	-8.299021e-01	-6.630026e-01
5.186896323750911e-03	-9.573835e-01	-8.348817e-01
